lad_id,lad_ons,name,rgn_code,rgn_name,updated_at,tot_shops,R00,R01,R02,R03,R04,R05,R07,R08,R09,R11,R12,R13
767,S12000026,Scottish Borders,,,2019-03-22,1539,0,0,0,0,0,0,0,0,31,121,1340,53
768,S12000005,Clackmannanshire,,,2019-03-11,487,0,0,0,0,0,0,19,0,32,55,381,0
769,S12000039,West Dunbartonshire,,,2019-03-21,745,0,0,0,0,0,0,0,0,4,26,679,36
770,S12000006,Dumfries and Galloway,,,2019-02-14,1515,0,0,0,0,0,0,5,0,3,64,1360,83
771,S12000045,East Dunbartonshire,,,2019-03-20,577,0,0,0,0,0,0,0,0,0,47,530,0
772,S12000042,Dundee City,,,2019-03-22,1444,0,0,0,0,0,0,6,0,98,168,1172,0
773,S12000036,Edinburgh (City of),,,2019-03-22,4259,0,0,0,0,0,0,0,0,0,776,3424,59
774,S12000014,Falkirk,,,2019-03-18,1236,0,0,0,0,0,0,53,0,173,59,944,7
775,S12000047,Fife,,,2019-03-19,4090,0,0,0,0,0,0,256,0,124,145,3505,60
776,S12000046,Glasgow City,,,2019-03-22,5298,0,0,0,0,0,0,994,0,0,623,3598,83
777,S12000017,Highland,,,2019-03-22,3899,0,0,0,0,0,0,1047,0,175,391,2255,31
778,S12000018,Inverclyde,,,2019-03-22,582,,,,,,,,,,,,
779,S12000044,North Lanarkshire,,,2019-03-22,2617,0,0,0,0,0,0,19,0,18,141,2439,0
780,S12000029,South Lanarkshire,,,2019-03-22,2213,0,0,0,0,0,0,159,0,36,245,1705,68
781,S12000010,East Lothian,,,2019-03-23,864,0,0,0,0,0,0,0,0,18,22,821,3
782,S12000040,West Lothian,,,2019-03-21,961,0,0,0,0,0,0,42,0,0,31,888,0
783,S12000019,Midlothian,,,2019-03-22,620,0,0,0,0,0,0,0,0,63,80,477,0
784,S12000020,Moray,,,2019-03-22,1084,0,0,0,0,0,0,130,0,47,110,792,0
785,S12000023,Orkney Islands,,,2019-03-15,311,0,0,0,0,0,0,1,0,0,0,310,0
786,S12000048,Perth and Kinross,,,2019-03-19,1038,0,0,0,0,0,0,62,0,0,19,957,0
787,S12000011,East Renfrewshire,,,2019-03-15,652,0,0,0,0,0,0,57,0,20,12,563,0
788,S12000038,Renfrewshire,,,2019-03-22,1372,0,0,0,0,0,0,2,0,130,35,1191,14
789,S12000027,Shetland Islands,,,2019-03-22,346,0,0,0,0,0,0,14,0,143,41,139,8
790,S12000030,Stirling,,,2019-03-21,1291,,,,,,,,,,,,
791,S12000013,Comhairle nan Eilean Siar (Western Isles),,,2019-03-18,443,0,0,0,0,0,0,8,0,20,17,371,27
801,N09000001,Antrim and Newtownabbey,,,2019-03-21,1107,0,9,10,57,151,738,17,0,125,0,0,0
802,N09000011,Ards and North Down,,,2019-03-22,1288,0,7,6,55,172,875,78,0,93,0,0,0
803,N09000002,"Armagh City, Banbridge and Craigavon",,,2019-03-22,1653,1,3,5,50,233,1199,67,0,91,0,0,0
804,N09000008,Mid and East Antrim,,,2019-03-23,1138,0,3,2,40,164,775,19,0,135,0,0,0
805,N09000004,Causeway Coast and Glens,,,2019-03-22,1473,0,5,21,32,167,1139,40,0,69,0,0,0
807,N09000003,Belfast City,,,2019-03-23,3036,0,13,27,222,568,1949,62,1,194,0,0,0
809,N09000007,Lisburn and Castlereagh City,,,2019-03-22,849,2,1,10,17,83,658,27,0,51,0,0,0
811,N09000009,Mid Ulster,,,2019-03-23,1286,0,0,5,38,175,999,16,0,53,0,0,0
813,N09000005,Derry City and Strabane,,,2019-03-21,1298,0,3,3,66,222,883,22,0,99,0,0,0
814,N09000010,"Newry, Mourne and Down",,,2019-03-22,1578,0,5,4,40,195,1194,54,0,86,0,0,0
816,N09000006,Fermanagh and Omagh,,,2019-03-21,1349,0,0,13,65,213,932,25,0,101,0,0,0
855,E06000023,Bristol,E12000009,South West,2019-03-24,4040,17,104,62,196,616,2407,440,0,198,0,0,0
856,E06000025,South Gloucestershire,E12000009,South West,2019-03-12,1811,4,30,24,109,181,1064,0,0,399,0,0,0
